P00027739T0000|0 28|Serum gamma glutamyltransferase
P01309587A0715|118 129|c-myb protein
P11034547A1355|118 128|DBH promoter
P11834476A1187|118 127|hemoglobin
P08605931A0777|118 127|U1A protein
P11145590A0217|118 126|TGF-beta1
P10532805A1084|118 126|nrg-1 mRNA
P09354676A1714|118 126|FGFR3 gene
P10051488A1293|118 123|HMAP-1
P09121433A0463|118 121|SMP1
P10376874A0759|118 121|eRF1
P08099443A0359|118 121|GCN4
P09099745A1446|118 121|Cdk2
P09874803A0000|118 121|SpeB
P08030243A1011|118 121|NS35
P09712915A0672|118 121|NF-Y
P09763470A1756|118 121|CREB
P09139910A0350|118 121|nifV
P09111004A0732|118 120|p38
P10517672A1417|118 120|NF1
P07745685A1442|118 120|CAT
P09519828A0809|118 119|E2
P10414451A0093|118 118|R
P10487759A0630|119 150|Xbra2 promoter-driven reporter gene
P11034547A0674|119 145|homeodomain recognition sites
P07826625X0000|119 134|C-terminal domain
P07683375A0000|119 134|estrogen receptor
P07647570A0713|119 133|Type I deiodinase
P08471629A0816|119 129|Histone IIIS
P10727428A0000|119 128|MAP kinases
P08035796A0890|119 128|eIF-2 alpha
P09857197A0289|119 124|RanGTP
P09165004A1700|119 123|Elk-1
P10650958A1315|119 123|c-myb
P08995410A1109|119 122|p110
P08643578A0532|119 122|lacZ
P10733569A0364|119 122|HSF2
P10406459A0000|119 122|CREB
P11274357A0724|119 122|Rac1
P09388198A1396|119 122|rhoB
P08057421A1583|119 122|CBF1
P01357190A0726|119 121|CD4
P08668210A0000|119 121|Ras
P08600028A1129|119 121|Myc
P10640683A0204|119 121|PKN
P09786926A1372|119 121|SRE
P02502602A0323|119 121|p50
P08072352A0567|119 121|IgE
P01652755A1492|119 120|RB
P08582143A0614|119 120|S1
P10779508T0000|120 139|human lactoferrin gene
P01328681A0149|120 138|LTR-binding proteins
P08443340A0522|120 137|beta-glucuronidase
P09694897T0000|120 133|bZIP-like motif
P09279379A0310|120 133|H2B histone gene
P08828152A1238|120 132|viral proteins
P09852136A0174|120 132|hemagglutinin
P09445056A0215|120 131|gp41 oligomer
P08063791A1370|120 130|Ras proteins
P08683106A0374|120 129|STAT1 alpha
P02061282A0447|120 128|pilin gene
P09368190A1053|120 128|IFN-gamma
P11040101A1180|120 127|IL-1 beta
P07590283A0820|120 126|Pol beta
P07537851A0891|120 124|IRF-1
P08529654A0589|120 124|Cyp-1
P09192769T0000|120 124|CCR-4
P09423310A0251|120 123|CD34
P11108720A1130|120 123|S6K2
P08260635A0926|120 123|GapB
P08649428A1227|120 123|Cdc2
P09671464A0316|120 123|Snf1
P07565776A0612|120 123|Hog1
P07687541A0200|120 123|mtr1
P08189533A0919|120 123|NS53
P07687541A0992|120 123|CNR2
P09261184A0170|120 123|NF-Y
P10702794A1495|120 123|ERK2
P09642214A0244|120 123|MAPK
P10815410A0000|120 122|TNF
P08923469A1391|120 122|VDR
P10627834A0178|120 122|Rex
P11241243A0693|120 122|p53
P07958898A1050|120 122|Sp1
P02358975A0709|120 122|IgA
P11528127A1402|120 121|L2
P11070078A1153|120 121|E7
P09029091A0881|120 121|A2
P10469140A0336|121 164|chloramphenicol acetyl transferase reporter gene
P09132011A0298|121 153|Drosophila cell cycle control protein
P07766885A0405|121 151|calmodulin-like regulatory domain
P11023832A1038|121 150|mitogen-activated protein kinase
P01977585A0222|121 147|cAMP-dependent protein kinase
P01742606A0000|121 146|235 kDa spectrin beta-subunit
P09285789A0712|121 144|spectrin-like repeat units
P07644466A0578|121 132|NS4A cofactor
P09990060A0803|121 132|CD18 promoter
P09613574A0905|121 131|MGMT protein
P09710589A1111|121 129|HTLV-1 LTR
P01538403A1058|121 125|TFIID
P07983744A0920|121 125|IE110
P01547942A0120|121 124|CHOP
P10066790A0497|121 124|AP-4
P08640866A0473|121 124|MAPK
P10036191A0000|121 124|TFEC
P09882303A1413|121 124|LMP1
P01331501A0397|121 124|p130
P08621542A0535|121 124|CD28
P07871721A0000|121 124|p223
P01542686A0000|121 123|p65
P10330396A0387|121 123|p62
P11289149A0658|121 123|CBP
P09837920A0222|121 123|JNK
P02761008X0000|121 123|ChE
P02863492A0544|121 123|IgG
P01549129A0356|121 123|Src
P09037032T0000|121 123|Rb1
P09536028A0945|121 122|TF
P10836786A0516|121 122|P3
P09528768A0000|122 149|ER-resident chaperone proteins
P10512882A0137|122 139|Src family of kinases
P09305944A0621|122 137|C-terminal domain
P11309389A0273|122 136|metalloprotease
P01413984A0737|122 131|fibrinogen
P07525596A0584|122 127|PPIase
P02115122A0562|122 126|c-Fos
P10898795A0527|122 126|HDACs
P08816460A1769|122 126|Erk-2
P11283014A0921|122 126|actin
P08637717A0817|122 125|Cdk2
P10894816A0836|122 125|IL-6
P10074903A0915|122 125|IFNs
P11254504A0766|122 125|MyoD
P10657899A0685|122 125|AP-1
P11161793A1033|122 125|EGFR
P07534285A0155|122 125|mMpl
P09425036A0649|122 124|Csk
P03159903A0352|122 124|IHF
P09271393A1333|122 124|CBP
P09396796A1173|122 124|E2F
P11145571A0788|122 124|GAS
P09339900A0939|122 124|AP2
P07798207A0759|122 124|ETF
P09488441A0615|122 124|Sp1
P09382886A1061|122 124|p53
P02637597A0362|122 123|C4
P11043469A0440|122 123|TR
P08868954A0648|123 149|angiotensin converting enzyme
P02026147A0000|123 147|mammalian type II CaM kinases
P09311796A0218|123 141|transcription factor
P08626777A0537|123 137|link protein gene
P09858745A2033|123 136|clcA transcript
P01828248A0189|123 134|UvrAB complex
P02580830A1131|123 134|mouse AFP gene
P07969181A0313|123 132|p53 protein
P07635572A1153|123 131|CIITA mRNA
P11505407A0461|123 130|TNFalpha
P09368419A0628|123 129|rd22BP1
P09199348A0156|123 129|Y domain
P08264617A0000|123 128|ErbB-3
P03061383A0000|123 127|Oxa-1
P02251119A0319|123 127|hsc70
P08662193A0404|123 126|NIT4
P01653238A1062|123 126|AP-1
P09079878A0000|123 126|lasA
P08818718A1229|123 126|MDR1
P08524292A1022|123 125|YY1
P09079650A0136|123 125|p38
P09642276A0881|123 125|Fak
P09763470A1756|123 125|AP2
P10733591A0146|123 125|JNK
P08816459A0090|123 124|TR
P10329586A0414|123 124|FN
P09731704A0000|123 124|U2
P02542612A0530|123 123|Z
P10406459A0000|124 160|cAMP-responsive element-binding protein
P10233147A0218|124 150|cAMP-dependent protein kinase
P01452037A0000|124 147|triosephosphate isomerase
P10982391A0425|124 139|N-terminal domain
P10392900A1020|124 138|RNA polymerase II
P08581174A0472|124 134|QUTA protein
P11127200A1024|124 132|TGF-beta1
P02555177A0488|124 131|COX3 gene
P10402467T0000|124 131|integrin
P02204623A0000|124 130|insulin
P07623807A0162|124 128|v-Src
P07507207A0991|124 128|IRF-1
P07708058A0178|124 128|c-fos
P10541550A0487|124 128|DmORC
P11274357A0724|124 128|Cdc42
P01698761A1059|124 127|AlgP
P07958898A1050|124 127|VP16
P10611235A1927|124 127|MAPK
P10744749A0315|124 127|MyoD
P08589735A0577|124 127|Ubi1
P08145646T0000|124 127|rpoN
P11075929A1657|124 127|ThlB
P09312028A0975|124 126|RXR
P11038118A0000|124 126|BSA
P08710377A0577|124 126|BCR
P08972182A0527|124 126|ICE
P09860979A0521|124 126|Crk
P02969316A0002|124 126|ANP
P11463834A0606|124 126|Tax
P10644357A0935|124 126|VP3
P08306959A0278|124 126|GAS
P10548434A1549|124 126|JNK
P11053370A0708|124 126|Uhp
P11207282A0729|124 126|IgM
P09006910A0000|125 145|human RXRgamma2 isoform
P10454568A0815|125 145|epidermal growth factor
P10903733A0540|125 144|TRAF3 adaptor proteins
P08035499A0941|125 144|protein-DNA complexes
P07721878A1163|125 144|Fc epsilon R1 beta chain
P08257754A0711|125 136|HB antibodies
P07742363A0135|125 136|alpha subunit
P10681562A0263|125 133|PPARgamma
P10080875A0772|125 133|NF-kappaB
P08509430A0372|125 132|psaB gene
P08621384A0935|125 132|PKCdelta
P09882303T0000|125 129|TRAF2
P08098842A0660|125 129|c-fos
P08072547A1009|125 129|c-Fos
P09238860A0175|125 128|CREB
P11223257A0404|125 128|PP2A
P09786197A0322|125 128|csrS
P08376796A0172|125 128|IgG1
P09882303A1984|125 128|CD40
P01348590A0000|125 127|CD4
P07988730A0220|125 127|CAT
P08615025A1214|125 127|Env
P09343210A1112|125 127|Tax
P09886850A0145|125 127|MEK
P04014861A0000|125 127|SOD
P10493575T0000|125 127|p53
P11559564A0459|125 127|SF2
P01692962A0980|126 152|cAMP-dependent protein kinase
P08522511A1578|126 143|beta-glucuronidase
P07803809A1852|126 139|protein kinase C
P01329039A0239|126 137|bHLH proteins
P08463320A1219|126 137|SSB tetramers
P01740448A1735|126 136|Pro II region
P01783088A1136|126 136|fibronectin
P01333047A0404|126 135|Nck protein
P08916960A1331|126 134|bcl-2 gene
P11018028A0263|126 131|RasGEF
P10359663A1280|126 131|GATA-3
P08618433A0000|126 130|STK-1
P11238375A0617|126 130|MAPKs
P10980416T0000|126 130|Pit-1
P11034392A1072|126 129|CD40
P11094066A0505|126 129|PI3K
P09339900A0939|126 129|NF-Y
P09346925A0660|126 129|Grb2
P09180687A0096|126 129|SulA
P10235265A0197|126 128|Clb
P02376023A0307|126 128|IgE
P11278848A1316|126 128|Sp1
P09753774A1642|126 128|GF4
P07499421A0237|127 158|chloramphenicol acetyltransferase
P10476970A0542|127 150|heterotrimeric G-proteins
P09317131A1332|127 146|human IgE germline gene
P01757341A0591|127 145|alkaline phosphatase
P09079650A0136|127 144|Hog 1 protein kinases
P07888623A0721|127 141|MAP kinase MsERK1
P09341139A0690|127 140|beta-arrestin 1
P10477620A0580|127 139|I kappa B kinase
P08483412A0000|127 137|NifA protein
P10657899A0685|127 136|luciferase
P06321505A0401|127 136|S1 nuclease
P02828926A1870|127 135|actin gene
P07642544A0868|127 135|NF-kappa B
P10850453A1292|127 135|TGF-beta1
P01765095A0680|127 134|myogenin
P03312514A0756|127 133|insulin
P11313961A1323|127 133|p53 gene
P09171235A0851|127 132|TRbeta
P10713453A0172|127 132|Hrb57A
P10705380A0629|127 131|BMP-4
P11254504A0766|127 130|p300
P11409425A0000|127 130|t-PA
P09882499A0231|127 130|Pax6
P09843572A0944|127 130|Wee1
P09269900A1035|127 130|JunD
P09050847A0180|127 129|SL1
P10747099A0507|127 129|Crk
P10658588A0304|127 129|HB3
P08394019A0695|127 129|Fyn
P07739544A0364|127 129|Myc
P11319098A0164|127 128|L1
P01702426A0196|128 153|avian fatty acid synthase gene
P09889202T0000|128 151|helix-turn-helix proteins
P03818467A0180|128 148|glutathione peroxidase
P08663219A0246|128 142|CAT reporter gene
P02523800A1178|128 139|alpha-factor
P07891685A1051|128 139|CAT8 promoter
P07526609A0736|128 138|wild-type S4
P09372287A0296|128 136|C1 segment
P09837907A0857|128 136|NF-kappaB
P10938102A1359|128 136|viral mRNA
P08636149A0220|128 134|insulin
P11241672T0000|128 133|STAT-6
P08274774A0958|128 133|TMV-U5
P02576405A0223|128 132|VP-16
P07574064A1416|128 132|min-1
P09028942A0000|128 132|egr-1
P08917435A0481|128 132|c-fos
P01386897A0000|128 131|CLN2
P00954819A1041|128 131|AChE
P09367392A0567|128 131|RNA3
P10611320A0816|128 131|Cdk7
P02691998A0672|128 131|ET-1
P08640866A0473|128 130|MEK
P09366517A0835|128 130|WT1
P11564871A1184|128 130|TBP
P10913304A1180|128 130|PE1
P09693134A0782|128 130|DER
P08044802A0462|128 130|p53
P10548434A1549|128 130|SPK
P07844142A0640|129 145|GTPase superfamily
P09524259A0301|129 143|insulin receptor
P09710599A0310|129 140|ets-2 protein
P03721594A0000|129 138|fibrinogen
P01690728A1166|129 138|S1 nuclease
P07696450A0271|129 137|TGF-beta 2
P10510295A0606|129 136|GLK1 gene
P02582918A0000|129 136|anti-HBs
P07494274A1015|129 136|alpha TIF
P11207308A0999|129 133|STAT1
P08382769A0924|129 133|SRP54
P07707531A0550|129 132|ICP4
P08455623A0630|129 132|GAR1
P10327051A0688|129 132|p300
P11108523A0326|129 131|I22
P09765394A1590|129 131|CAT
P10416558A0000|129 131|CD4
P09668063A0274|129 131|Ras
P09886850A0145|129 131|ERK
P11113179A0541|129 131|CBP
P11580757A0304|129 130|MR
P11419938T0000|130 153|diphtheria toxin repressor
P10611225A1127|130 145|C-terminal region
P11376687A0344|130 144|B-type MTH1 mRNAs
P01714902A0221|130 142|interleukin-2
P10235265A0197|130 142|cyclin subunit
P10623804A0808|130 141|Fc gamma RIIB1
P07504171A1214|130 141|Src SH2 domain
P09297698A0933|130 140|enolase gene
P02445751A0925|130 139|hem2 mutant
P09731513A1090|130 138|HTLV-I Tax
P07913891A0174|130 137|Hox genes
P09482902A0942|130 137|cyclin D2
P08804389A0893|130 137|Ltp4 mRNA
P08818718A1229|130 136|GC cDNAs
P10200473A0171|130 136|I-FLICE
P02156828A0164|130 134|actin
P07902583A0545|130 134|Grf10
P10706736A1091|130 134|gp100
P03185540T0000|130 134|TFIID
P10727433T0000|130 134|CSF-1
P01982997A1104|130 134|c-Jun
P08626325A0543|130 133|UmuD
P02052544A0641|130 133|DPB2
P10212278A0387|130 133|SAPK
P10744749T0000|130 133|p300
P07579695A0336|130 133|CBF1
P11274184A1068|130 133|Nrf2
P10825200T0000|130 133|IL-2
P09169475A0772|130 133|STAT
P01309815A0972|130 132|AEP
P09763470A1756|130 132|Sp1
P10074425A0729|130 132|p27
P08566747A0756|130 132|SBF
P09369450A1358|130 132|GRE
P08569684A0000|130 132|PKC
P08932363A0807|130 132|CBP
P11431348A0000|130 132|MEK
P02110145T0000|131 160|Bacillus cereus beta-lactamase II
P08076631A0000|131 150|human osteocalcin gene
P10890911A0470|131 149|Xenopus homeobox gene
P09573202A0900|131 146|N-terminal domain
P08861963A0375b|131 145|rrnBP1 UP element
P01516829A0460|131 143|lexA operators
P07476975A0492|131 142|POMC products
P09372950A1283|131 140|human U2 RNA
P09829843A0819|131 138|rHu G-CSF
P04014861A0000|131 138|catalase
P10781423A0993|131 135|TTF-1
P09339900A0939|131 135|c-Myc
P09708450A0648|131 135|G-CSF
P07935471A0613|131 135|hHSF1
P08412620A0688|131 134|VirF
P09920930A0959|131 134|AP-1
P11000250A0200|131 134|CD40
P10359575A0317|131 134|hIgA
P07935577A0305|131 133|CSF
P10068446A0124|131 133|PKC
P10976413A0514|131 133|FSH
P10543728A0358|131 133|E1A
P10713175A1399|131 133|p53
P02793216A0876|131 133|CgA
P08614410A0000|132 163|glycoprotein hormone alpha-subunit
P01469047A1606|132 156|glutamic acid decarboxylase
P01569584A0672|132 146|alpha-type genes
P09006914A1127|132 145|E-selectin gene
P11550795A2583|132 143|interleukin 2
P10469656T0000|132 143|HMG-14 kinase
P10771709A0291|132 142|IgG antibody
P09950213A1660|132 140|TbetaRIII
P10022905A0446|132 140|mog-1 mRNA
P01717718A1255|132 139|PR domain
P10756225A1464|132 139|IL-5 mRNA
P07862129A1391|132 138|TTR gene
P10072774A0537|132 138|Bge cDNA
P09398855A0438|132 138|p53 gene
P10586115A0477|132 137|PKCeta
P10602507A0652|132 136|CSF-1
P08100843A0134|132 136|mCD22
P11016850A0423|132 136|LTTRs
P07958898A1050|132 136|NTF-1
P07791768A0930|132 135|SIR1
P09531559A1153|132 135|ZO-2
P09489670A1157|132 135|HST6
P10548722A0099|132 135|SIRE
P10026784A2166|132 135|GTAT
P08144572A0786|132 135|DnaK
P09729481A0000|132 134|Sp1
P10628748A0746|132 134|CRE
P08995410A1109|132 134|p47
P10750020A0843|132 133|ER
P07623814A1040|132 133|ER
P01279352A1197|133 162|beta-galactosidase reporter gene
P11050168A1185|133 150|RNA-binding protein
P11046148A0716|133 149|Lyn tyrosine kinase
P01713213A0000|133 148|human Pim-1 enzyme
P07559640A1230|133 145|bHLH core motif
P07872673A0332|133 144|SV40 promoter
P07680120A1008|133 143|aFGF protein
P09291098A0452|133 142|rat GGT gene
P09012636A0723|133 142|fibrinogen
P11504545A0393|133 139|BKV-MLP
P06272844A0000|133 137|MNase
P09685226A0000|133 137|PTHrP
P09261155A0833|133 137|IRS-3
P10628755A0000|133 137|GHS-R
P08977235A0588|133 137|STAT5
P09528758T0000|133 137|Rox-1
P11246887A0000|133 136|PLTP
P11274357A0724|133 136|RhoA
P08748033A0874|133 136|DegP
P09537375A0198|133 136|gntT
P09020138A0833|133 136|CrkL
P09649438A0182|133 135|Tat
P11170476A1546|133 135|MHC
P11525640A0560|133 135|ERK
P10801330A1714|133 135|FAK
P11222387A1497|133 135|BCR
P09882303A1413|133 135|JNK
P10548434A1549|133 135|p38
P10473623A0081|134 157|activin-responsive factor
P07969136A0273|134 153|kappa light-chain gene
P08172653A1589|134 151|TnT multigene family
P09620873A1710|134 149|PKC family members
P09666114A0389|134 148|Sp1 binding sites
P02591078A0000|134 147|OKT6 antibodies
P08278548A0597|134 144|psaE product
P07917540A0000|134 143|interferon
P01542686A0000|134 142|NF-kappa B
P10187842A1155|134 142|PPARalpha
P08663000A0000|134 142|TGF-beta1
P08062824A0626|134 140|FKBP-12
P10492169A0939|134 140|EST-YD1
P09312087A0000|134 140|PECAM-1
P02111015A0574|134 138|IRF-1
P10811804A0800|134 138|MKP-3
P01734283A0817|134 138|RAP30
P07969132A0268|134 137|gcn2
P08412665A0000|134 137|ScrR
P09792714A1408|134 137|AF-1
P08207232A0503|134 137|IL-8
P09519757A0482|134 137|SUR1
P08552095A0758|134 137|PAF1
P10327051A0688|134 136|CBP
P11040101A1180|134 136|p38
P07592723A0814|134 136|PKC
P09482902A0423|134 136|p15
P10207041A0065|135 157|cyclin-dependent kinases
P08164661A0414|135 157|RNA polymerase III factors
P09561560A0579|135 153|HIV-Nef recombinants
P11583621A0301|135 151|TFIID-like complex
P08647091A0592|135 151|mammalian ADH genes
P07659529A0135|135 147|human EpoR gene
P07768898A0492|135 141|apobec1
P09028308A0590|135 139|G-CSF
P09388199A0948|135 138|LexA
P11160683A1220|135 138|CREB
P09407031A0557|135 138|Cdc2
P11113179A0541|135 138|p300
P07493627A0882|135 138|EC-1
P11431348A0000|135 138|MAPK
P08444345A0403|135 138|DbpB
P08816507A1125|135 137|YY1
P10022880A0000|135 137|Ras
P10395199A0792|135 137|Ras
P10811804A0000|135 137|ERK
P07534297A0141|135 137|CAT
P08808707A0631|135 137|JNK
P10212278A0387|135 137|JNK
P11139473A0696|135 137|Hex
P09712037A0470|135 137|Fyn
P09192998A0356|135 136|T1
P10931960A0630|136 164|herpes simplex viral protein VP16
P01679749A1171|136 156|HSPG2 proteoglycan gene
P07476164A1602|136 155|wild-type CspB protein
P08702807A0964|136 150|cyclin D1 protein
P07853488T0000|136 150|P1 capsid protein
P03838797A0903|136 145|mutant cDNA
P07545510A0735|136 145|cotS region
P10628750T0000|136 144|NF-kappaB
P10903877A0879|136 144|ERK kinase
P08756433A0282|136 144|MAP1B gene
P02820128A1333|136 141|ORF T3C
P08051074A0000|136 141|DNase I
P06667015A0832|136 140|CK-MB
P08504928T0000|136 140|TFIID
P02555703T0000|136 140|c-myc
P10861906A0999|136 139|IME1
P08794339A1162|136 138|CBP
P10775585A0754|136 138|Ras
P09271394A0558|136 138|Mu1
P07826625X0000|136 138|CTD
P09710582A0535|136 138|Rho
P00512215A0000|136 137|L1
P07683375A0000|136 137|ER
P07629196A0274|137 165|stress-activated protein kinase
P09632734A0081|137 159|small GTP binding proteins
P09774444A0351|137 158|Sp1 recognition sequence
P08076937A0851|137 156|Tru9I restriction site
P08566751A0455|137 154|Drosophila Hox genes
P11158324A1073|137 151|apolipoprotein B
P11266558A1470|137 151|RNA polymerase II
P08918810A0967|137 149|wild-type OxyR
P10066815T0000|137 149|B cell receptor
P10233885A0899|137 147|p30 isoforms
P02559630A0270|137 146|fibrinogen
P02105497A1092|137 146|HSP70 genes
P09882321A0948|137 146|EBNA-3 cDNA
P08289831A0290|137 145|gamma RE-1
P08003700T0000|137 144|atpA loci
P08537388A0825|137 142|WNT-5A
P07691885T0000|137 141|c-kit
P07659085A1520|137 141|Oct-1
P11127200A1024|137 141|BMP-2
P01394200A0592|137 140|CD25
P10446149A0809|137 140|Rin1
P11532856A1175|137 140|MAPK
P11040101A1180|137 140|MAPK
P09468515A0621|137 140|SF-1
P11359568T0000|137 140|parS
P09545332A0137|137 140|IL-4
P09927585A0796|137 139|Sp1
P11423991A1393|137 139|p53
P10607566A0880|137 139|RXR
P07505798A0000|137 139|MHC
P10860846A0480|137 139|AP2
P02529378A0536|137 139|SP1
P08654983A0000|138 170|mammalian SRP receptor alpha-subunit
P11207308A0999|138 158|c-Jun N-terminal kinase
P07739544A0364|138 156|DNA-binding proteins
P01734020A1318|138 154|wild-type PKC alpha
P08455611A0000|138 152|zeta 2 globin gene
P09545353A1071|138 151|E-selectin gene
P01846803A0688|138 151|ATP binding site
P08721989A1012|138 146|IL-2R beta
P09973607A0254|138 146|Sp100 gene
P07512258A0441|138 142|G-CSF
P09199327A1250|138 142|TEF-1
P09804836A0000|138 142|CSF-1
P10037681A0494|138 141|RhoA
P09447994A0000|138 141|CREs
P08552643A0261|138 140|IFN
P10909973A1508|138 140|PKA
P10995751A0093|139 179|gamma-IFN-activated transcriptional element
P11145590A0217|139 174|thyroid-specific transcription factors
P09811730T0000|139 171|RNA-dependent protein kinase pkr gene
P01485648A0000|139 168|allergen-specific IgE antibodies
P08912807A0411|139 157|beta-casein promoter
P10429946A0473|139 154|CRE-like elements
P09372908A1068|139 153|Polycomb protein
P09079928A1319|139 153|LysR superfamily
P09914500A0000|139 151|interleukin-1
P09882348A0611|139 151|viral oncogene
P11287611A0802|139 150|cyclin D1 gene
P10717612A0000|139 144|GM-CSF
P10688663A0207|139 144|TFIIIA
P07713936A0393|139 143|meAda
P10805739A0640|139 142|eIF2
P00725534A0888|139 141|IgA
P09029159A0000|139 141|IFN
P11024300A1579|139 141|ARC
P00512215A0000|139 140|L2
P11600314A0000|139 140|B2
P08157009A0264|140 169|plasma membrane AP-2 sigma subunit
P11375392T0000|140 167|AU-rich element-regulated gene
P02903500A0278|140 163|immunoglobulin heavy chain
P08106325A0000|140 158|diphtheria toxin gene
P11014213A1019|140 156|chimeric receptors
P10913304A1180|140 155|C-terminal domain
P10777217A0536|140 151|PIG3 promoter
P08806693A0584|140 149|luciferase
P07657162A1412|140 148|HMG domain
P09833740A1112|140 148|TNF-alpha
P08088818A1053|140 148|RAD52 gene
P01527020A0511|140 146|rat gene
P10464310A0218|140 145|FGFR-1
P08533757A0204|140 144|BRCA1
P08561897A0604|140 143|CREB
P08139562A0404|140 143|GCN4
P09837907A0857|140 143|AP-1
P07498727A0724|140 143|rad6
P08466864A0878|140 143|CREB
P08995410A1109|140 142|p40
P10805738A0799|140 142|p38
P10403839A1459|140 142|Ahr
P09339900A0939|140 142|Sp1
P10779313A1842|140 142|PKA
P10915780A1063|140 142|ILK
P11313342A0224|140 142|PAP
P02789062A1420|141 165|NF-4FB recognition sequence
P09108029A0399|141 154|AP endonuclease
P09138076A1099|141 154|E-box 2 elements
P09234743A0475|141 153|alpha-complex
P01656221A1319|141 150|FGFR family
P08977235A0588|141 145|STAT1
P10964995A2152|141 145|HER-2
P11122381A0908|141 145|STAT5
P09638650A0169|141 144|ORF1
P10652362A0933|141 144|AP-2
P08643578A0000|141 144|lacZ
P07799950A0282|141 144|CREB
P09892736A0343|141 144|ORC1
P01321277A0342|141 143|UR2
P10477620A0580|141 143|IKK
P01708098A0922|141 142|GR
P09370307A0093|142 167|MYB-like DNA binding proteins
P01394200A0592|142 161|interleukin 2 receptor
P08573083A0645|142 161|human insulin promoter
P11179956A1818|142 158|N-terminal domains
P08892859A0563|142 152|c-myb allele
P10865940A0000|142 150|NF-kappaB
P10628750A0298|142 150|NF-kappaB
P08429019A0735|142 147|GATA-1
P02111015A0574|142 146|IRF-2
P10675331A0600|142 146|Stat3
P09531549A0658|142 146|actin
P11012680A1020|142 146|PDGFR
P11133986A0350|142 146|c-Fos
P10094314A0935|142 146|SRp20
P02758382A0478|142 145|SHBG
P09539779A0621|142 145|All1
P10477597A0126|142 145|SAPK
P08149484A1551|142 145|AP-1
P01717718A1255|142 144|Gag
P11278928A1634|142 144|p30
P08723352A0084|142 144|pRb
P08556707A1390|142 144|p53
P10440923A0684|142 144|p27
P09085842A0181|142 144|SF2
P09218459A0000|143 170|growth factor-responsive genes
P09422727A0196|143 159|CRE binding protein
P08582143A0614|143 156|beta-lactamase
P00898500A0246|143 153|IgE antibody
P08093450A0688|143 153|NRF-1 motifs
P10037681A0494|143 152|RhoAVal-14
P02145268A0746|143 152|COL3A1 gene
P08662852A1297|143 151|rhodopsin
P07935451T0000|143 151|c-rel gene
P10805286A0233|143 149|PCI mRNA
P11669476A0346|143 149|insulin
P09687511A1091|143 147|G-CSF
P11071924A0588|143 147|c-Cbl
P08896280A0860|143 146|yvh1
P10825200T0000|143 146|STAT
P07799925A0526|143 145|p62
P08702633A0164|144 177|Ras guanine nucleotide exchange factor
P10627532A0739|144 174|cellular transcription factor ATF2
P10414451A0093|144 168|anticardiolipin antibodies
P09817373A0000|144 162|nitric oxide synthase
P07696878A0222|144 161|homeodomain protein
P08188290A0544|144 160|TCRAJ gene segments
P01413984A0737|144 158|antithrombin III
P10657658A0165|144 157|ICAM-1 promoter
P09305944A0621|144 156|yeast proteins
P09442024A0708|144 156|Jacalin lectin
P11145743A0170|144 148|Pax-8
P08552096A0151|144 148|cdc34
P08548291A1059|144 148|Elk-1
P10491187T0000|144 147|ptsH
P11309677A0000|144 147|GV-H
P08660892A1044|144 147|MyoD
P08223875A0711|144 147|CD45
P11011139A0000|144 147|Sin4
P10080875A0772|144 146|p50
P11040101A1180|144 146|JNK
P09199327A1250|144 146|Max
P07829519A1251|145 170|immunoglobulin mu heavy chain
P08084339A0907|145 159|TCR C alpha region
P09360953A1057|145 157|PTH-1 receptor
P10836786A0516|145 153|RNase P RNA
P07729427A0942|145 152|hTAFII30
P09580700A0841|145 150|DNase I
P08654375A0544|145 149|Oct-1
P10648020A0151|145 149|PAI-1
P11029704A0378|145 148|ABI3
P10071761A2374|145 148|UCP2
P08383217A0357|145 148|VP16
P10603349A1667|145 148|Myf5
P09804836A0000|145 148|pp37
P09649438A0182|145 147|Tat
P09169420A0000|145 147|p55
P10607566A0880|145 147|RAR
P11080796A1277|145 147|Tax
P06468565A0000|145 146|G1
P09111309A0674|145 146|ER
P08106512A0522|146 172|interferon regulatory factor 1
P10688660A0992|146 172|progesterone response element
P01407286A0427|146 164|tyrosine hydroxylase
P08005230A0222|146 155|luciferase
P09990315A0205|146 153|thrombin
P08206991A0466|146 150|Cys-6
P09190202A0166|146 149|p150
P08245456A0501|146 149|IL-5
P10358080A1114|146 149|HSF1
P09182990A0245|146 149|eRF1
P07896088A0720|146 149|RIF1
P10197985A0145|146 148|U11
P10918599A0071|146 147|Rb
P09914518A1217|146 147|E2
P02473907A1338|147 167|Fc epsilon R binding site
P09686603A0124|147 165|TCR beta gene segments
P08902847A1946|147 159|hCG alpha 1 beta
P02910496A0583|147 158|RNAase MRP RNA
P07655184A0852|147 156|ER sequence
P07958920A1157|147 155|RNase P RNA
P09872832A1262|147 155|TNF-alpha
P08113736A0309|147 155|CRSV RNA-1
P07916003A0688|147 155|human gene
P08219227A0830|147 154|AP-1 site
P07983716A1082|147 154|Y88L RNAs
P07782302A0479|147 152|RanBP1
P08816052A0238|147 152|K-SNAP
P07813466A0074|147 151|hsc70
P02107073A0584|147 151|STE18
P10660304A0522|147 151|STAT3
P09427844A0739|147 150|dCyd
P09710582A0535|147 150|AP-1
P10715325A0834|147 150|EIN2
P02975680A0000|147 149|GAD
P11196199T0000|147 149|p53
P08441394A1297|147 149|Ras
P02164604A1574|147 148|E2
P08580083A0259|148 183|chloramphenicol acetyltransferase gene
