P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P10476970A0542|127 150|heterotrimeric G-proteins
P11481625A0202|127 146|peginterferon alfa-2b
P09317131A1332|127 146|human IgE germline gene
P01757341A0591|127 145|alkaline phosphatase
P09079650A0136|127 144|Hog 1 protein kinases
P00232456T0000|127 143|transforming genes
P10376877A0611|127 142|C-terminal region
P07888623A0721|127 141|MAP kinase MsERK1
P09341139A0690|127 140|beta-arrestin 1
P09346938A1680|127 140|cathepsin B mRNA
P11463359A0167|127 140|G6Pase promoter
P10477620A0580|127 139|I kappa B kinase
P10380232A0000|127 139|5-HT3 receptor
P08483412A0000|127 137|NifA protein
P10657899A0685|127 136|luciferase
P06321505A0401|127 136|S1 nuclease
P02828926A1870|127 135|actin gene
P07629196A0274|127 135|Jun kinase
P10850453A1292|127 135|TGF-beta1
P07642544A0868|127 135|NF-kappa B
P01765095A0680|127 134|myogenin
P03619249A0428|127 134|anti-HBc
P10579331A1225|127 134|SREBP-1a
P07890674A0916|127 134|catenins
P01398074A1081|127 134|RNase MRP
P03312514A0756|127 133|insulin
P08997490A1127|127 133|albumin
P11313961A1323|127 133|p53 gene
P00055040A0000|127 132|fibrin
P09171235A0851|127 132|TRbeta
P10713453A0172|127 132|Hrb57A
P10446149A0809|127 132|RalGDS
P08041793A0242|127 131|COX5b
P09002672A0439|127 131|hTRF1
P11005831A0242|127 131|AREB1
P10612044A1180|127 131|rpL34
P11390581A1203|127 131|EBNA1
P10705380A0629|127 131|BMP-4
P01918070A0281|127 130|T3RE
P09269900A1035|127 130|JunD
P10490826T0000|127 130|Pbx1
P09843572A0944|127 130|Wee1
P11254504A0766|127 130|p300
P09882499A0231|127 130|Pax6
P11409425A0000|127 130|t-PA
P10721704X0000|127 130|mHuA
P09723896A0000|127 130|PPRE
P09716179A0974|127 130|WAF1
P02993630A1190|127 129|G-A
P10628971A0824|127 129|VPS
P09050847A0180|127 129|SL1
P08918464A0225|127 129|STK
P07739544A0364|127 129|Myc
P10658588A0304|127 129|HB3
P08394019A0695|127 129|Fyn
P10747099A0507|127 129|Crk
P10794405A0000|127 128|H1
P11319098A0164|127 128|L1
P07540866A1069|127 128|F2
P09405685A0113|127 127|A
P11207261A1421|128 180|cytoplasmic Src homology 2-domain-containing phosphatases
P07983011A0617|128 175|microtubule-associated protein kinase kinase kinases
P09564860A2139|128 173|M2Ach-muscarinic and alpha2A-adrenergic receptors
P01702426A0196|128 153|avian fatty acid synthase gene
P09914156A1496|128 153|collagen-dependent promoter
P09889202T0000|128 151|helix-turn-helix proteins
P03818467A0180|128 148|glutathione peroxidase
P07525548A1380|128 146|fibronectin variants
P11056007A0224|128 144|Enhancer-of-zeste
P10373507A0680|128 144|smooth alpha-actin
P08898866A0458|128 143|annexin II mutants
P08816759A0000|128 143|nuclear receptors
P08663219A0246|128 142|CAT reporter gene
P02251119A0319|128 140|heat shock gene
P02523800A1178|128 139|alpha-factor
P07891685A1051|128 139|CAT8 promoter
P08576131A0685|128 138|USF proteins
P07526609A0736|128 138|wild-type S4
P11112700A1936|128 138|desmoplakin
P10987280A0604|128 137|matrilysin
P09927570A0507|128 137|E1 products
P08574583A0658|128 137|sim mutants
P09372287A0296|128 136|C1 segment
P09182990A0245|128 136|SUP45 gene
P01294345A0591|128 136|prolactin
P11595813A0633|128 136|aromatase
P10938102A1359|128 136|viral mRNA
P09837907A0857|128 136|NF-kappaB
P06131378A0818|128 135|DHFR cDNA
P08636149A0220|128 134|insulin
P08208540A0417|128 133|p84/85
P11152344A0416|128 133|fibrin
P11241672T0000|128 133|STAT-6
P08274774A0958|128 133|TMV-U5
P08332492A0145|128 132|HIV-1
P09028942A0000|128 132|egr-1
P07651424A0743|128 132|Ssm1p
P09334330A0252|128 132|daf-3
P08624445A0257|128 132|wx-m9
P07574064A1416|128 132|min-1
P09504906A0099|128 132|Hap1p
P08576131A0151|128 132|USF2b
P10861909A0502|128 132|ura4+
P08917435A0481|128 132|c-fos
P01386897A0000|128 131|CLN2
P10611320A0816|128 131|Cdk7
P02158927A0000|128 131|RAD7
P10752475A1376|128 131|CD20
P02691998A0672|128 131|ET-1
P00954819A1041|128 131|AChE
P09367392A0567|128 131|RNA3
P02183467A0668|128 130|vif
P08044802A0462|128 130|p53
P09366517A0835|128 130|WT1
P11564871A1184|128 130|TBP
P10913304A1180|128 130|PE1
P09482902A0423|128 130|p16
P10428811A0628|128 130|GAP
P08640866A0473|128 130|MEK
P09564860A2315|128 130|GGH
P10548434A1549|128 130|SPK
P09254678A0106|128 130|PLP
P08631934A0000|128 129|YG
P07521009A0377|128 128|T
P11369700A0074|128 128|C
P08598449A0784|129 158|src-like protein tyrosine kinases
P08585957A0101|129 158|Drosophila trithorax gene product
P08188603A0230|129 157|carbamoyl-phosphate synthetase
P07558583A0562|129 150|Src-like tyrosine kinase
P08816459A0090|129 148|retinoic acid receptor
P08756332A0000|129 146|protein kinase c-Raf
P08182041A1067|129 145|PEPCK TATA sequence
P07844142A0640|129 145|GTPase superfamily
P11207288A0897|129 144|class Ia molecules
P06407348A0516|129 144|cardiac receptors
P09524259A0301|129 143|insulin receptor
P02010912A0366|129 142|pulCp promoters
P02590097A0093|129 142|IgA--Type Kappa
P10369418A0644|129 142|NF-kappaB sites
P09447973A0168|129 141|mSos C terminus
P09710599A0310|129 140|ets-2 protein
P10850719A0680|129 140|Jbeta12-RSSs
P10534402A0126|129 140|Spo11p family
P08550476A0610|129 140|epiA promoter
P08861955A0927|129 139|Rab proteins
P03721594A0000|129 138|fibrinogen
P09064659A1055|129 138|human HUPF1
P01690728A1166|129 138|S1 nuclease
P06325415A0757|129 138|Ad5 protein
P07696450A0271|129 137|TGF-beta 2
P09843944A0976|129 137|UP element
P11160307A0394|129 137|wH22xeGFP
P10510295A0606|129 136|GLK1 gene
P02582918A0000|129 136|anti-HBs
P07494274A1015|129 136|alpha TIF
P11090762A0527|129 135|alpha-1
P08088777A0754|129 134|Epb7.2
P09011744A0790|129 134|Grin2d
P10468585A0980|129 133|Hap46
P11207308A0999|129 133|STAT1
P07707531A0550|129 132|ICP4
P10036191A0000|129 132|Mitf
P08455623A0630|129 132|GAR1
P08034318A0724|129 132|NF-1
P10585491A0945|129 132|AtpC
P10327051A0688|129 132|p300
P01618256A0521|129 131|l-1
P11113179A0541|129 131|CBP
P10416558A0000|129 131|CD4
P09765394A1590|129 131|CAT
P09886850A0145|129 131|ERK
P10207087A0956|129 131|MEF
P11559564A0459|129 131|ASF
P09668063A0274|129 131|Ras
P11419938T0000|130 153|diphtheria toxin repressor
P07936650A0656|130 152|Ets-2-Conserved sequence
P07483276A0139|130 149|herpes simplex virus-1
P01871135A0295|130 148|rat liver glucokinase
P11282395A0530|130 146|DNA repair proteins
P10611225A1127|130 145|C-terminal region
P01313846A0850|130 145|melanoma Ag MUC-18
P01398071A0526|130 144|RNA polymerases I
P11376687A0344|130 144|B-type MTH1 mRNAs
P08584035A0740|130 144|3 beta I-A element
P09651383A0967|130 143|apoCII promoter
P08413239A0490|130 142|U2 transcripts
P01714902A0221|130 142|interleukin-2
P10235265A0197|130 142|cyclin subunit
P09111340A0240|130 142|chimeric genes
P10623804A0808|130 141|Fc gamma RIIB1
P08770981A0328|130 141|vWF multimers
P07504171A1214|130 141|Src SH2 domain
P08794348A1067|130 140|NIa proteins
P01740437A0851|130 140|fibroglycan
P09297698A0933|130 140|enolase gene
P02445751A0925|130 139|hem2 mutant
P08552093A0657|130 138|G proteins
P02107073A0584|130 138|wild-type
P09806857A0854|130 138|R-M operon
P09731513A1090|130 138|HTLV-I Tax
P02462523A0394|130 138|P-element
P02139891A0532|130 138|EIIF sites
P08589735A0577|130 138|rice actin
P07913891A0174|130 137|Hox genes
P10542281A0382|130 137|G1 domain
P08804389A0893|130 137|Ltp4 mRNA
P09482902A0942|130 137|cyclin D2
P08818718A1229|130 136|GC cDNAs
P09924987A0000|130 136|23S rRNA
P08552042A1497|130 136|A)+ mRNA
P10200473A0171|130 136|I-FLICE
P09360422A0135|130 136|D-dimer
P02559630A0270|130 135|fibrin
P10684265T0000|130 135|hSMT3b
P09840934A0435|130 135|RalGDS
P10364159A0813|130 135|4E-BP1
P01324385A0329|130 134|HIV-1
P08721989A1012|130 134|beta c
P03185540T0000|130 134|TFIID
P10629035A0827|130 134|cdc17
P10727433T0000|130 134|CSF-1
P08891346A1217|130 134|FGF8a
P07542616A0486|130 134|eIF-3
P07902583A0545|130 134|Grf10
P08003700T0000|130 133|atp6
P09169475A0772|130 133|STAT
P10744749T0000|130 133|p300
P10212278A0387|130 133|SAPK
P02743981A0347|130 133|L11e
P08626325A0543|130 133|UmuD
P02052544A0641|130 133|DPB2
P09572990A0630|130 133|hSIE
P10825200T0000|130 133|IL-2
P10933728A1398|130 133|CBF2
P07579695A0336|130 133|CBF1
P11274184A1068|130 133|Nrf2
P01309815A0972|130 132|AEP
P11431348A0000|130 132|MEK
P08566747A0756|130 132|SBF
P08932363A0807|130 132|CBP
P09763470A1756|130 132|Sp1
P11208814A0673|130 131|m8
P11369700A0074|130 130|H
P02110145T0000|131 160|Bacillus cereus beta-lactamase II
P03001086A0587|131 152|heat-inducible dnaK gene
P08076631A0000|131 150|human osteocalcin gene
P10890911A0470|131 149|Xenopus homeobox gene
P08093616T0000|131 148|DNA polymerase alpha
P11094075A0257|131 147|v-ras-Ki oncogenes
P10556028A0292|131 146|RepA binding sites
P09573202A0900|131 146|N-terminal domain
P08524314A0216|131 145|Gal4-type family
P08861963A0375b|131 145|rrnBP1 UP element
P09190202A0166|131 144|150-kDa protein
P01516829A0460|131 143|lexA operators
P09024805A0905b|131 143|BZLF1 promoter
P07476975A0492|131 142|POMC products
P08921387A1182|131 141|EZH1 protein
P08749394A0874|131 141|mouse Notch1
P10836786A0516|131 141|RNase MRP RNA
P09171389A0549|131 141|Thermus PyrR
P08630548A0000|131 140|TNF-alpha]
P09372950A1283|131 140|human U2 RNA
P10438627A0885|131 139|tRNA(Asp)
P10675331A0600|131 139|cortactin
P01702972A0613|131 139|G0S30 cDNA
P07689154A0168|131 139|pp60v-src
P09829843A0819|131 138|rHu G-CSF
P04014861A0000|131 138|catalase
P10619353T0000|131 137|COUP-TF
P09339900A0939|131 135|c-Myc
P09708450A0648|131 135|G-CSF
P07935471A0613|131 135|hHSF1
P09849961A0387|131 135|IRS-1
P10781423A0993|131 135|TTF-1
P09151837A0723|131 135|Rep78
P06782869A0263|131 134|SGPT
P08652081A1953|131 134|IL-3
P10359575A0317|131 134|hIgA
P11207609A0994|131 134|VSVG
P09192998A0356|131 134|rrnB
P09920930A0959|131 134|AP-1
P08223613A0105|131 134|fdp1
P08412620A0688|131 134|VirF
P09829836A0000|131 134|CDKs
P11000250A0200|131 134|CD40
P07687541A0200|131 134|srm1
P10543728A0358|131 133|E1A
P10713175A1399|131 133|p53
P09271394A0558|131 133|TIR
P02793216A0876|131 133|CgA
P10976413A0514|131 133|FSH
P10233885A0899|131 133|p32
P10068446A0124|131 133|PKC
P10526670A1828|131 132|CK
P08813900A1088|131 131|P
P08631934A0000|131 131|A
P02138707A0198|132 174|murine class II major histocompatibility complex
P07867622X0000|132 170|neuron-specific GTPase-activating protein
P01309593A1092|132 170|immunoglobulin light- and heavy-chain genes
P01826043A0431|132 164|cyclic AMP-dependent protein kinases
P08614410A0000|132 163|glycoprotein hormone alpha-subunit
P02115121A0000|132 160|dihydrolipoyl transsuccinylase
P01469047A1606|132 156|glutamic acid decarboxylase
P11254504A0766|132 151|nuclear factor-kappaB
P08230418A0812|132 151|type 5 acid phosphatase
P08622030A0667|132 151|lactate dehydrogenase
P09488441A0615|132 149|P-selectin promoter
P08876167A0717|132 149|nonhistone promoter
P07872788A1717|132 148|carboxylesterases
P01569584A0672|132 146|alpha-type genes
P09006914A1127|132 145|E-selectin gene
P01512259A0867|132 145|mammalian furin
P08361755A0734|132 144|NF-kappa B site
P08471629A0816|132 144|peptide(19-31
P11550795A2583|132 143|interleukin 2
P10469656T0000|132 143|HMG-14 kinase
P09694869A0932|132 142|p21 promoter
P10828591A0080|132 142|uteroglobin
P02116071A0000|132 142|mite antigen
P10771709A0291|132 142|IgG antibody
P07797077A0842|132 141|IRF) family
P07673178A0982|132 141|MCK-L type E
P09393875A0873|132 141|c-fos mRNAs
P09950213A1660|132 140|TbetaRIII
P10022905A0446|132 140|mog-1 mRNA
P01717718A1255|132 139|PR domain
P10756225A1464|132 139|IL-5 mRNA
P09238860A0175|132 138|CREM tau
P07862129A1391|132 138|TTR gene
P10826946A1198|132 138|H)3+ Igs
P09398855A0438|132 138|p53 gene
P10072774A0537|132 138|Bge cDNA
P09138076A1099|132 137|E-box 1
P10721704X0000|132 137|Elavl1
P10586115A0477|132 137|PKCeta
P11016850A0423|132 136|LTTRs
P10403839A1459|132 136|BMAL1
P09531549A0658|132 136|Pan1p
P07958898A1050|132 136|NTF-1
P07487811A0000|132 136|PSE-1
P10602507A0652|132 136|CSF-1
P08100843A0134|132 136|mCD22
P07791768A0930|132 135|SIR1
P09531559A1153|132 135|ZO-2
P08643111A0855|132 135|cLL2
P10026784A2166|132 135|GTAT
P08144572A0786|132 135|DnaK
P09346925A0660|132 135|HPK1
P09489670A1157|132 135|HST6
P02183467A0668|132 134|tat
P02677002A0205|132 134|C-P
P10628748A0746|132 134|CRE
P08995410A1109|132 134|p47
P10713176A0885|132 134|p16
P11119611A0428|132 133|CD
P07623814A1040|132 133|ER
P02585492A1005|132 133|P7
P07521009A0377|132 132|C
P08232304A1166|133 164|chloramphenicol acetyltransferase
P01279352A1197|133 162|beta-galactosidase reporter gene
P09971776A0838|133 159|AP-recruiting dileucine motif
P10702285A0855|133 152|p85 regulatory subunit
P08325720A0840|133 152|lactate dehydrogenase
P11050168A1185|133 150|RNA-binding protein
P07537851A0000|133 149|interleukin-1 beta
P11046148A0716|133 149|Lyn tyrosine kinase
P02163347A0472|133 149|human ets-1 protein
P10400794T0000|133 149|Epstein-Barr virus
P01713213A0000|133 148|human Pim-1 enzyme
P08647264T0000|133 148|cysteine protease
P10358075A0984|133 146|PtdIns 3-kinase
P07559640A1230|133 145|bHLH core motif
P07872673A0332|133 144|SV40 promoter
P07680120A1008|133 143|aFGF protein
P09291098A0452|133 142|rat GGT gene
P09012636A0723|133 142|fibrinogen
P11278286A0456|133 141|rat 5-HT1A
P02324104A0929|133 141|C pre-mRNA
P09551972A1033|133 140|9804 gene
P08632779A0351|133 140|beta-gal
P08601284A0000|133 140|U3 snoRNA
P11504545A0393|133 139|BKV-MLP
P06272844A0000|133 137|MNase
P09528758T0000|133 137|Rox-1
P09261155A0833|133 137|IRS-3
P08977235A0588|133 137|STAT5
P08288240A1343|133 137|Lap18
P09499061A0000|133 137|HIV-1
P11005831A0242|133 137|AREB2
P10628755A0000|133 137|GHS-R
P09020138A0833|133 136|CrkL
P11274357A0724|133 136|RhoA
P01538403A1058|133 136|eUSF
P11246887A0000|133 136|PLTP
P10531342A0348|133 136|psa2
P09537375A0198|133 136|gntT
P09477316A0140|133 136|MafB
P08748033A0874|133 136|DegP
P09649438A0182|133 135|Tat
P10358138A0672|133 135|SAP
P11222387A1497|133 135|BCR
P09360956A0840|133 135|Raf
P08631934A0000|133 135|G)C
P11170476A1546|133 135|MHC
P10658588A0304|133 135|Dd2
P09882303A1413|133 135|JNK
P10548434A1549|133 135|p38
P10801330A1714|133 135|FAK
P11525640A0560|133 135|ERK
P09079902A0713|133 134|Pk
P02038326A0538|134 168|general translation initiation factor 2
P09504423A0114|134 158|glutathione-S-transferase
P10473623A0081|134 157|activin-responsive factor
P09660836A0983|134 155|deltaN3-S218E/S222D MEK
P10400712A0577|134 154|gene junction sequences
P07624581A0312|134 154|glutamine transaminase
P02970640A0341|134 153|243-amino acid protein
P07969136A0273|134 153|kappa light-chain gene
P01171935A0313|134 153|dopamine receptor site
P10752475A1376|134 152|anti-CD20 antibodies
P08172653A1589|134 151|TnT multigene family
P07745726A1496|134 151|E1 recognition motif
P08075070A1632|134 149|helix-turn-helix
P10799590A0431|134 149|wild-type EBNA-3C
P09620873A1710|134 149|PKC family members
P09915798A1077|134 148|steroid receptor
P09666114A0389|134 148|Sp1 binding sites
P02591078A0000|134 147|OKT6 antibodies
P11438666A0555|134 147|mammalian TFIID
P09111314A1243|134 146|p15 transcript
P08207232A0503|134 145|IL-8 promoter
P08457205A0240|134 145|G alpha q cDNAs
P08278548A0597|134 144|psaE product
P08750190A0000|134 144|CD44 variant
P07917540A0000|134 143|interferon
P09111309A0674|134 143|deltaRaf-1
P08521717A0126|134 143|Factor VIII
P01542686A0000|134 142|NF-kappa B
P04032349A0000|134 142|Urokinase
P10187842A1155|134 142|PPARalpha
P08663000A0000|134 142|TGF-beta1
P08871542A1352|134 142|Thbs3 gene
P08605302A1770|134 141|CatA gene
P07729427A0942|134 141|hTAFII28
P08062824A0626|134 140|FKBP-12
P09312087A0000|134 140|PECAM-1
P10492169A0939|134 140|EST-YD1
P09716179A0974|134 140|p27Kip1
P10567430A0785|134 139|Galpha
P01581965A0388|134 139|rho GAP
P02111015A0574|134 138|IRF-1
P01734283A0817|134 138|RAP30
P10811804A0800|134 138|MKP-3
P07969132A0268|134 137|gcn2
P08552095A0758|134 137|PAF1
P08432137A0000|134 137|PLYS
P08412665A0000|134 137|ScrR
P09519757A0482|134 137|SUR1
P10364202A0646|134 137|GAL4
P09792714A1408|134 137|AF-1
P08532536A0925|134 136|EGF
P09482902A0423|134 136|p15
P07592723A0814|134 136|PKC
P10327051A0688|134 136|CBP
P10330396A0387|134 136|Can
P10780764A0722|134 136|m-3
P10594903A0000|134 135|HD
P09852136A0174|134 135|HA
P07521009A0377|134 134|G
P09057648A0422|135 175|bacterial chloramphenicol acetyltransferase
P11007954A0170|135 166|tyrosine kinase-activated receptor
P02118519A0516|135 160|68-kDa neurofilament protein
P02949170A0184|135 159|sex hormone binding globulin
P01387105A0933|135 159|cyclin B1-related sequences
P10490955T0000|135 158|thrombospondin-1 peptides
P10207041A0065|135 157|cyclin-dependent kinases
P08164661A0414|135 157|RNA polymerase III factors
P11376007A0584|135 153|protein phosphatase 1
P09561560A0579|135 153|HIV-Nef recombinants
P07517869A0411|135 153|cellular phosphatase
P01363080A0710|135 151|carbonic anhydrase
P08647091A0592|135 151|mammalian ADH genes
P11583621A0301|135 151|TFIID-like complex
P08294511A0639|135 149|protein-protein
P07659529A0135|135 147|human EpoR gene
P09294422A1376|135 145|tac promoter
P08641705A0986|135 145|beta-globin
P02779752A0776|135 144|5-HT1 sites
P08441394A1297|135 143|PKC-delta
P01694014A0716|135 142|LD78 cDNA
P10209031A0832|135 142|zeta ITAM
P09169420A0000|135 142|p85alpha
P08624445A0257|135 142|Ac allele
P01863887A0174|135 141|insulin
P07768898A0492|135 141|apobec1
P02958204A0175|135 140|HDL3-C
P03041802A0975|135 140|fibrin
P09028308A0590|135 139|G-CSF
P10501965A0879|135 139|Gpr31
P10640683A0670|135 139|RIPE3
P09388199A0948|135 138|LexA
P08444345A0403|135 138|DbpB
P07493627A0882|135 138|EC-1
P10096573A0207|135 138|MGSA
P11113179A0541|135 138|p300
P08538483A0207|135 138|GnRH
P08376796A0172|135 138|IgG3
P11431348A0000|135 138|MAPK
P07579695A0336|135 138|CPF1
P09407031A0557|135 138|Cdc2
P11160683A1220|135 138|CREB
P08816507A1125|135 137|YY1
P09712037A0470|135 137|Fyn
P10612044A1180|135 137|Aal
P11139473A0696|135 137|Hex
P08643578A0000|135 137|TyA
P08808707A0631|135 137|JNK
P10212278A0387|135 137|JNK
P07534297A0141|135 137|CAT
P10395199A0792|135 137|Ras
P10022880A0000|135 137|Ras
P09652737A1244|135 137|Jun
P06671047A1124|135 136|CD
P08383492A1205|136 167|cyanobacterial cytochrome oxidases
P10931960A0630|136 164|herpes simplex viral protein VP16
P09010223A1850|136 158|ETS transcription factors
P01847464A0856|136 157|carboxy-terminal EBNA-1
P01679749A1171|136 156|HSPG2 proteoglycan gene
P09461594A0000|136 155|phospholipase Cgamma2
P07476164A1602|136 155|wild-type CspB protein
P09308738A1216|136 154|von Willebrand factor
P07504171A0715|136 152|PDGF-R binding site
P08769566A0000|136 152|zinc finger domains
P08702807A0964|136 150|cyclin D1 protein
P07853488T0000|136 150|P1 capsid protein
P09545312A1197|136 150|protein-protein
P09826658A0691|136 149|BPV-1 pre-mRNAs
P08332495A0408|136 149|pT7-EMC-CAT DNA
P08386279A1621|136 148|HIV-1 promoter
P10629035A0827|136 146|pol1 mutants
P10778740A1493|136 146|mutant pho85
P09642238A1285|136 145|Sp1 protein
P07545510A0735|136 145|cotS region
P03838797A0903|136 145|mutant cDNA
P10861909A0502|136 145|his3+ genes
P10628750T0000|136 144|NF-kappaB
P10903877A0879|136 144|ERK kinase
P08756433A0282|136 144|MAP1B gene
P08157009T0000|136 143|clathrin
P09024793A1325|136 142|MCK gene
P02820128A1333|136 141|ORF T3C
P08223875A0711|136 141|p59fyn
P08051074A0000|136 141|DNase I
P06667015A0832|136 140|CK-MB
P10866689A0295|136 140|tal-1
P02555703T0000|136 140|c-myc
P10713176A0885|136 140|INK4A
P08891346A1217|136 140|FGF8b
P08504928T0000|136 140|TFIID
P09858713A1174|136 140|ciD/+
P10861906A0999|136 139|IME1
P09590540A0513|136 139|Sac1
P08223613A0105|136 139|byp1
P08995410A1109|136 138|p44
P07826625X0000|136 138|CTD
P09271394A0558|136 138|Mu1
P09710582A0535|136 138|Rho
P10775585A0754|136 138|Ras
P10094314A0935|136 138|9G8
P08794339A1162|136 138|CBP
P09920930A0959|136 138|Luc
P11278928A1634|136 138|p32
P00512215A0000|136 137|L1
P07683375A0000|136 137|ER
P07521009A0377|136 136|G
P09765261A0000|137 169|cAMP response element binding protein
P08997490A1127|137 167|cholesterol hydroxylase promoters
P07629196A0274|137 165|stress-activated protein kinase
P09632734A0081|137 159|small GTP binding proteins
P09774444A0351|137 158|Sp1 recognition sequence
P08076937A0851|137 156|Tru9I restriction site
P08566751A0455|137 154|Drosophila Hox genes
P11158324A1073|137 151|apolipoprotein B
P09421516A1516|137 151|beta-globin mRNA
P11266558A1470|137 151|RNA polymerase II
P08148463A0000|137 149|macrophage CSF
P08918810A0967|137 149|wild-type OxyR
P10066815T0000|137 149|B cell receptor
P07691885T0000|137 148|c-kit product
P10233885A0899|137 147|p30 isoforms
P01469042A0355|137 147|DNA-protein
P02559630A0270|137 146|fibrinogen
P09882321A0948|137 146|EBNA-3 cDNA
P02105497A1092|137 146|HSP70 genes
P08289831A0290|137 145|gamma RE-1
P10542249A0415|137 145|C/EBPbeta
P11116148A0741|137 145|C/EBPbeta
P08003700T0000|137 144|atpA loci
P11202434T0000|137 143|ankyrin
P08537388A0825|137 142|WNT-5A
P08627649A0734|137 141|P4 EBS
P11127200A1024|137 141|BMP-2
P11112417A1126|137 141|MLSN1
P07659085A1520|137 141|Oct-1
P07745696A0932|137 141|SalI L
P07784199A0000|137 141|Rap1p
P01394200A0592|137 140|CD25
P09637689A0150|137 140|RNAP
P09468515A0621|137 140|SF-1
P11359568T0000|137 140|parS
P01699944A1538|137 140|VLC1
P11532856A1175|137 140|MAPK
P09545332A0137|137 140|IL-4
P10446149A0809|137 140|Rin1
P01285009A0000|137 139|vTK
P07505798A0000|137 139|MHC
P11222387A1497|137 139|ABL
P02529378A0536|137 139|SP1
P11423991A1393|137 139|p53
P09927585A0796|137 139|Sp1
P10601290A0742|137 139|I1Y
P10607566A0880|137 139|RXR
P10860846A0480|137 139|AP2
P10471721A0141|137 137|s
P08654983A0000|138 170|mammalian SRP receptor alpha-subunit
P11560992A0000|138 167|stress-activated protein kinases
P10095061A0592|138 167|U2-ribonucleoprotein structures
P09852005A1287|138 164|MADS box consensus binding site
P01310178A0876|138 159|11-kDa C-terminal domain
P11207308A0999|138 158|c-Jun N-terminal kinase
P10561546A0000|138 156|NF-kappaB p65 subunit
P08995410A0000|138 156|40 S ribosomal subunit
P07739544A0364|138 156|DNA-binding proteins
P01734020A1318|138 154|wild-type PKC alpha
P08395004A0141|138 154|wild-type HIS4 mRNA
P07704040A0000|138 153|quinone reductase
P11595813A0633|138 153|5alpha-reductase
P08455611A0000|138 152|zeta 2 globin gene
P09545353A1071|138 151|E-selectin gene
P01846803A0688|138 151|ATP binding site
P08617238A0334|138 151|MAPKAP kinase-2
P08649389A0692|138 151|human c-myc gene
P09753774A2246|138 149|fructan genes
P09121452A0538|138 148|2D5 promoter
P10467403A0000|138 147|PI 3-kinase
P09395525A0395|138 147|C/EBPdelta
P08721989A1012|138 146|IL-2R beta
P09973607A0254|138 146|Sp100 gene
P10788320A1034|138 146|tri-snRNP
P02196565A0606|138 145|MAT alpha
P07816630A1333|138 145|H4-I gene
P08204403A0000|138 144|anti CEA
P10330396A0387|138 143|Nup214
P09182990A0245|138 143|Sup45p
P07512258A0441|138 142|G-CSF
P02473718A0000|138 142|OKT4+
P09209372A0345|138 142|AML1a
P07713421A1435a|138 142|SxlM1
P09199327A1250|138 142|TEF-1
P09804836A0000|138 142|CSF-1
P07713421A1435b|138 142|SxlM1
P10037681A0494|138 141|RhoA
P09447994A0000|138 141|CREs
P10327051A0688|138 141|ATF2
P10531342A0348|138 141|gp46
P08552643A0261|138 140|IFN
P10909973A1508|138 140|PKA
P09060444A0557|138 140|EGF
P11155096A0222|138 140|TSH
P03857577A0413|138 140|EIA
P10669594A0000|138 140|PT3
P09566871A0343|138 140|TyA
P08688556A0242|138 140|Chc
P09477316A0140|138 139|Kr
P06671047A1124|138 139|LD
P09360422A0135|138 139|DD
P11123912A0306|138 139|MT
P10995751A0093|139 179|gamma-IFN-activated transcriptional element
P11145590A0217|139 174|thyroid-specific transcription factors
P09811730T0000|139 171|RNA-dependent protein kinase pkr gene
P10712618A0181|139 170|Pseudomonas fluorescens aspartases
P01485648A0000|139 168|allergen-specific IgE antibodies
P08643682A0268|139 162|wild-type or fusion protein
P10233946A0000|139 160|bovine leukemia virus RNA
P08912807A0411|139 157|beta-casein promoter
P10364202A0646|139 155|DBP fusion proteins
P09132057A0559|139 155|S-receptor kinases
P10429946A0473|139 154|CRE-like elements
P09031639A0474|139 154|human U1-C protein
P09372908A1068|139 153|Polycomb protein
P09079928A1319|139 153|LysR superfamily
P08978817A0620|139 153|DIM gene products
P08276854A1894|139 152|pur/pyr segment
P09882348A0611|139 151|viral oncogene
P09914500A0000|139 151|interleukin-1
P11287611A0802|139 150|cyclin D1 gene
P09927570A0507|139 150|3 E1A proteins
P09144958A0047|139 149|phytochrome
P01645902A1462|139 149|syn mutation
P02083253A1512|139 148|TCF-1 alpha
P08524284A0309|139 148|PTF complex
P03297181A0127|139 147|SR product
P01657249A1019|139 146|VH4-HV2a
P08993393T0000|139 146|hPACAP-R
P10717612A0000|139 144|GM-CSF
P10688663A0207|139 144|TFIIIA
P09011744A0790|139 143|zeta 1
P09581834A2578|139 143|erbB1
P07713936A0393|139 143|meAda
P08049444A0351|139 143|SATB1
P10347220A1477|139 143|Ceg1p
P03133250A0000|139 142|hFSH
P10612044A1180|139 142|rpL8
P10805739A0640|139 142|eIF2
P00725534A0888|139 141|IgA
P08443340A0522|139 141|GUS
P11024300A1579|139 141|ARC
P02183467A0668|139 141|rev
P09029159A0000|139 141|IFN
P00512215A0000|139 140|L2
P02877124A0000|139 140|H1
P08709251A0000|140 190|DNA helicase gene of Bombyx mori nuclear polyhedrosis virus
P09621062A0810|140 171|chloramphenicol acetyltransferase
P08157009A0264|140 169|plasma membrane AP-2 sigma subunit
P07972012A0956|140 168|ANP-receptor kinase-like domain
P09630245A0903|140 168|yeast-specific U1 snRNP proteins
P08195186A0000|140 167|cationic amino acid transporter
P11375392T0000|140 167|AU-rich element-regulated gene
